COLOR ID,COLOR,SHORTCUT,,,,
1,Black,BLK,,,,
2,White,WHT,,,,
3,Red,RED,,,,
5,Yellow,YEL,,,,
6,Brown,BRO,,,,
7,Beige,BEI,,,,
8,Aqua Green,AQ.GRN,,,,
9,Off White,O.WHT,,,,
10,Coffee,COF,,,,
11,Silver,SIL,,,,
12,Bronze,BRNZ,,,,
13,Gray,GRY,,,,
14,Light Gold,L.GLD,,,,
15,Khaki,KHK,,,,
16,Green,GRN,,,,
17,Black/Maroon,BLK/MAR,,,,
18,Black/White,BLK/WHT,,,,
19,Black/Coffee,BLK/COF,,,,
20,Pucia Pink,P.PNK,,,,
21,Maroon,MAR,,,,
22,Orange,ORG,,,,
23,Light Coffee,L.COF,,,,
24,Pink,PNK,,,,
25,Avocado Green,Av. Grn,,,,
26,Mustard,MUST,,,,
27,Light Brown,Lt.BRO,,,,
28,Blue,BLU,,,,
29,Silver/Gray,SIL/GRY,,,,
30,Dark Coffee,D.COF,,,,
31,Pewter,PWTR,,,,
32,Stranium,STRNM,,,,
33,Camel,CML,,,,
34,Gold,GLD,,,,
35,Cream,CRM,,,,
36,Copper,COP,,,,
37,Light Green,L.GRN,,,,
38,Black/Tan,BLK/TAN,,,,
39,Black/Cream,BLK/CRM,,,,
40,Cream/Tan,CRM/TAN,,,,
41,Tan,TAN,,,,
42,Tan cream,tan/crm,,,,
43,Dark Brown,D.BRO,,,,
44,Dark Green,D.GRN,,,,
45,Olive Green,OLV.GRN,,,,
46,Silver green,SIL/GRN,,,,
47,Apricot,APRI,,,,
48,Light red,l.red,,,,
49,Brass,bras,,,,
50,Light gray,l.gry,,,,
51,Assorted,SORTED,,,,
52,Violet,Vio,,,,
377,BLUE/MINT GREEN,BLU/M.GRN,,,,
55,Dark silver,d.sil.,,,,
56,Stainless steel,sus,,,,
57,Tri-color,tri-clr,,,,
58,Light bronze,Lt. Bnze,,,,
59,Pieces,pcs.,,,,
60,Can,can,,,,
61,Set,set,,,,
62,Box,Bxs,,,,
63,Units,units,,,,
64,Dark gold,d. gold,,,,
65,Light Silver,L. Silver,,,,
66,Dark rose,D.ROSE,,,,
67,Iron ash,i ash,,,,
68,Naturals,nat,,,,
69,Hard Gray,H. Gray,,,,
70,Pink/white,pnk/wht,,,,
71,Blue/white,blu/wht,,,,
72,Green/white,grn/wht,,,,
73,White/black,wht/blk,,,,
74,Rose,ROSE,,,,
75,Bundle,bundle,,,,
76,Apple Green,AP.GRN,,,,
77,Purple,PURPLE,,,,
78,Dark Red,D. RED,,,,
79,LIGHT PURPLE,LT. PURP,,,,
80,Plum Red,PLUM,,,,
81,Peach,PEACH,,,,
82,Rust,rust,,,,
83,Transparent,trans,,,,
84,YQ2508-05,Lt. Blue,,,,
85,plastics,plas,,,,
86,Silver White,Sil.wht.,,,,
87,Wht/Grn/Pnk,W/G/P,,,,
88,Wht/Grn/Violet,W/G/V,,,,
89,Violet/White/Pink,V/W/P,,,,
90,Violet/Pink/White,V/P/W,,,,
91,WHT/VLT/GRN,W/V/G,,,,
97,Dark Gray,D.GRAY,,,,
98,Yellow soil,yel soil,,,,
99,white/coffee,wht/cof,,,,
100,Dark Blue,D.BLUE,,,,
101,Royal Blue,R.BLUE,,,,
102,Aqua Blue,AQ.BLU,,,,
103,Emerald Green,E. Grn,,,,
104,Old Rose,O.ROS,,,,
105,Silver/Brown,SIL/BRN,,,,
106,Brown/Silver,BRN/SIL,,,,
107,Black/Silver,BLK/SIL,,,,
108,Orange/Coffee,ORG/COF,,,,
109,Blue/Silver,BLU/SIL,,,,
110,Coffee/Cream,COF/CRM,,,,
111,Mocha,MOC,,,,
112,Gray/Coffee,GRY/COF,,,,
113,Bronze/Coffee,BRZ/COF,,,,
114,Pink/Coffee,PNK/COF,,,,
115,Denim,Denim,,,,
142,FUCHSIA,FUCH,,,,
143,Navy Blue,N.Blu,,,,
144,Multi-Colors,Multi,,,,
145,Burgundy,Burgy,,,,
146,White/Brown,Wht/Bro.,,,,
147,8 FEET,8',,,,
148,6 FEET,6',,,,
149,12 INCHES,"12""",,,,
150,all,all,,,,
151,White/Purple,WHT/PURP,,,,
152,Lime Green,LM GRN,,,,
153,COFF/RED,COF/RED,,,,
154,COFFE/BROWN,COF/BRO,,,,
155,BLACK/BROWN,BLK/BRO,,,,
156,DARK PURPLE,D.PUR,,,,
157,BEIGE/COFFEE,BEI/COF,,,,
158,BEIGE/RED,BEI/RED,,,,
159,Baby Pink,BBY PNK,,,,
160,DARK MOCHA,D.MCHA,,,,
161,TAUPE,Taupe,,,,
162,TANGERINE,Tangie,,,,
163,ASH GRAY,ASH GRY,,,,
164,LIGHT MOCHA,L.MOC,,,,K
165,LIGHT PEACH,L.PEACH,,,,
166,clear,clr,,,,
167,Dark Peach,DK.PEACH,,,,
168,DEEP BROWN,DP. BRN,,,,
169,Sky Blue,S.Blu,,,,
170,CHECKERED,CHKRD,,,,
171,WATERMELON,WMLON,,,,
172,COFFEE/BEIGE,COF/BEI,,,,
173,BABY PINK / YELLOW,B.PNK/YEL,,,,
174,APRICOT / AQUA GREEN,APRI/AQ.GRN,,,,
175,AQUA GREEN / KHAKI,AQ.GRN/KHK,,,,
176,COFFEE / MAROON,COF/MAR,,,,
177,YELLOW / ORANGE,YEL/ORG,,,,
178,BEIGE / AQUA BLUE,BEI/AQ.BLU,,,,
179,APRICOT / BABY PINK,APRI/B.PNK,,,,
180,ORANGE / YELLOW,ORG/YEL,,,,
181,KHAKI / BLACK,KHK/BLK,,,,
182,ORANGE / BEIGE,ORG/BEI,,,,
183,SMALL,SM,,,,
184,MEDIUM,MED,,,,
185,LARGE,L,,,,
186,EXTRA-LARGE,XL,,,,
187,APRICOT / FUCHSIA,APRI/FUCH,,,,
188,BEIGE / FUCHSIA,BEI/FUSH,,,,
189,MOCHA/PURPLE,MOC/PURP,,,,
190,PEACH/RED,PEACH/RED,,,,
191,PINK/BLUE,PNK/BLU,,,,
192,SILVER/GOLD,SIL/GOLD,,,,
193,GOLD/PINK,GOLD/PNK,,,,
194,PINK/GOLD,PNK/GOLD,,,,
195,EXTRA SMALL,XSM,,,,
196,DARK CAMEL,D.CAMEL,,,,
197,YELLOW / GREEN,YEL/GRN,,,,
198,SAGE,Sage,,,,
199,BLUE/GREEN,BLU/GRN,,,,
200,BLUE/RED,BLU/RED,,,,
201,OFF WHITE/GREEN,O.WHT/GRN,,,,
202,OFF WHITE/RED,O.WHT/RED,,,,
203,Caribbean Green,C.GREEN,,,,
204,DARK LILAC,DK.LILAC,,,,
205,POWDER BLUE,P.BLUE,,,,
206,CORAL,CORAL,,,,
207,TOMATO,TOMATO,,,,
208,BEIGE/BLUE,BEI/BLU,,,,
209,NEON PINK,N.PNK,,,,
210,NEON GREEN,NEO. GRN,,,,
211,MONZA,MONZA,,,,
212,DARK CORAL,D.CORAL,,,,
213,PUMPKIN,PUMPKIN,,,,
214,BORLAND,BORLAND,,,,
215,HOTPINK,HOTPNK,,,,
216,WINE RED,W.RED,,,,
217,GRAPE,GRAPE,,,,
218,NEW BLUE,NEW BLU,,,,
219,PERSIAN BLUE,PER.BLUE,,,,
220,TEAL,TEAL,,,,
